column,count,mean,std,min,25%,50%,75%,max
average_rating,11127,3.933630807944639,0.35244503249594206,0.0,3.77,3.96,4.135,5.0
num_pages,11127,336.3769210029658,241.12730542527365,0.0,192.0,299.0,416.0,6576.0
ratings_count,11127,17936.40909499416,112479.44144873752,0.0,104.0,745.0,4993.5,4597666.0
text_reviews_count,11127,541.8544980677631,2576.176607902237,0.0,9.0,46.0,237.5,94265.0
