publisher,count
Simon and Schuster,5
Not Avail,5
Albin Michel,5
Hodder,5
Listening Library (Audio),5
Ember,5
Pan,5
Pocket Star Books,5
Hyperion,5
Suhrkamp,5
HarperCollins Espanol,5
Umbriel,5
Bantam Press,5
HarperPerennial,4
Pragmatic Bookshelf,4
Phaidon Press,4
Canongate Books,4
Meisha Merlin Publishing,4
DAW Books,4
Tor Science Fiction,4
Rizzoli,4
Simon Schuster,4
New American Library,4
Kodansha,4
Salamandra,4
Carlsen,4
Headline Book Publishing,4
New City Press,4
Borgo Press,4
Nick Hern Books,4
Hyperion Books,4
Berrett-Koehler Publishers,4
Santillana USA Publishing Company,4
Hard Press,4
Multnomah Books,4
The Guilford Press,4
Recorded Books,4
MONDIAL,4
Little  Brown Young Readers,4
Ebury Press,4
Edimat Libros,4
Counterpoint LLC,4
Arcadia Publishing (SC),4
Wisdom Publications,4
Dey Street Books,4
Bedford Books,4
HarperFestival,4
Tor,4
Lerner Publications,4
Vintage Contemporaries,4
OUP Oxford,4
HarperCollinsChildren’sBooks,4
Multnomah,4
Barnes & Noble Classics,4
Pan MacMillan,4
Polity Press,4
Rutgers University Press,4
Fourth Estate,4
Writer's Digest Books,4
White Wolf Games Studio,4
Gibbs Smith,4
University Press of Kansas,4
University of Illinois Press,4
Naxos Audiobooks,4
Teaching Resources,4
Rowman & Littlefield Publishers,4
TarcherPerigee,4
Addison-Wesley Professional,4
Counterpoint,4
Chatto & Windus,4
Collins Reference,4
Margaret K. McElderry Books,4
Miramax Books,4
Apress,4
Harlequin Presents,4
Wheeler Publishing,4
North Atlantic Books,4
Taschen,4
Peachpit Press,4
Bradford Book,4
University of Washington Press,4
Flamingo,4
University of Georgia Press,4
Times Books,4
Wadsworth Publishing Company,4
Penguin Press HC  The,4
Penguin UK,4
Cartwheel,4
Ivan R. Dee Publisher,4
Barron's Educational Series,4
Philomel Books,4
Microsoft Press,4
Silhouette Desire,4
Simon  Schuster/Paula Wiseman Books,4
Westminster John Knox Press,4
Crown Publishing Group (NY),4
Duke University Press Books,4
Thames  Hudson,4
Image Comics,4
Audio Partners,4
Cleis Press,4
Putnam Publishing Group,4
Waterbrook Press,4
Sphere,4
Kaplan,4
Mysterious Press,4
Wings Books,3
TusQuets,3
Tachyon Publications,3
Bolchazy-Carducci Publishers,3
Allyn & Bacon,3
Harper Collins,3
Atlantic Books,3
New Riders Publishing,3
Harvard Common Press,3
Applause Books,3
Hodder Children's Books,3
G.P. Putnam's Sons Books for Young Readers,3
New Press,3
Hard Crime Case,3
New English Library,3
Random House  Inc.,3
Zondervan Publishing Company,3
Montena,3
Augsburg Fortress Publishing,3
Arcadia Publishing,3
Robert Laffont,3
Heinemann Educational Books,3
Virgin Publishing,3
Delcourt,3
Putnam,3
Soho Crime,3
Methuen Publishing,3
Bloomsbury USA,3
Pimlico,3
Pan Publishing,3
Babel,3
Harvill Press,3
Bantam Doubleday Dell Publishing Group,3
Focal Press,3
Golden/Disney,3
Ann Arbor Media,3
Kiepenheuer & Witsch,3
Penguin Group,3
University of North Carolina Press,3
Seix Barral,3
Oni Press,3
University Press of Florida,3
Transworld Publishers,3
William B. Eerdmans Publishing Company,3
Bloomsbury U.S.A. Children's Books,3
Rowohlt Verlag,3
Mira,3
Dial,3
Ecco Press,3
Miramax,3
Henry Holt and Co. (BYR),3
HarperCollinsPublishers,3
Listening Library,3
Ballantine,3
Walker Books,3
Harvard Business Review Press,3
List,3
Shueisha,3
Audiogo,3
Livre de Poche,3
Holiday House,3
Backinprint.com,3
Seal Books,3
Marvel Comics,3
Mondadori,3
FaithWords,3
Sourcebooks,3
Stanford University Press,3
Souvenir Press,3
MacMillan Audio,3
Candlewick Press (MA),3
Candlewick,3
Griffin,3
University of Massachusetts Press,3
Nan A. Talese,3
IDW Publishing,3
Vintage/Random House (NY),3
Harlequin Blaze,3
Totem Books,3
Forge,3
Berlitz Kids,3
Schocken Books,3
Dodo Press,3
Golden Books,3
Blackwell Publishers,3
HarperTempest,3
iUniverse,3
Course Technology,3
MacMillan General Books,3
MTV Books,3
Kensington Publishing Corporation,3
Business Plus,3
Filiquarian Publishing  LLC.,3
Fredonia Books (NL),3
Penguin Books Limited,3
National Geographic,3
Bantam Books (NY),3
Public Square Books,3
McGraw-Hill,3
Buccaneer Books,3
Scholastic Books,3
Abdo Publishing Company,3
Black Classic Press,3
Veritas Publishing,3
Icon Books,3
Penguin Group (USA),3
Gemstone Publishing,3
McGraw-Hill Humanities/Social Sciences/Languages,3
Atheneum Books,3
Beach Lane Books,3
New World Library,3
Thorndike Press,3
Castle Books,3
Walker & Company,3
Fantagraphics,3
Berkley Hardcover,3
Blanvalet Taschenbuch Verlag,3
Be Beautiful,3
Smart Pop,3
Orion Books,3
Simon & Schuster Books for Young Readers,3
Focus,3
Whitaker House,3
Regnery Publishing,3
Vertical,3
Fanfare,3
Hampton Roads Publishing Company,3
Orion Publishing,3
Random House Children's Books,3
DC Comics Vertigo,3
Hachette Audio,3
IVP Academic,3
Ellora's Cave,3
NAL Trade,3
Europa Editions,3
Running Press Adult,3
Orion Publishing Group,3
Harlequin Historical,3
Llewellyn Publications,3
Odonian Press,3
Red Fox,3
Citadel Press,3
Canongate U.S.,3
Editions du Rocher,2
Dutton Children's Books,2
Dover Publications  Inc.,2
Golden Gryphon Press,2
B Books,2
Clarkson Potter Publishers,2
Lulu.com,2
Chatto and Windus,2
Kyle Books,2
Creation Books,2
Trafford Publishing,2
Atlantic,2
Cooper Square Press,2
Julia MacRae,2
Arthur A. Levine Books,2
Possibilities,2
Hyperion Books for Children,2
Coffee House Press,2
Wildstorm,2
皇冠文化出版有限公司,2
Douglas & McIntyre,2
Disinformation Company,2
RH Audio,2
Soundings,2
University Press of Kentucky,2
Farrar  Straus & Giroux,2
PublicAffairs,2
Keep It Simple Books,2
Gardners Books,2
Harcourt Brace Jovanovich,2
Orbis Books,2
W.W. Norton & Company (NYC),2
Editions 10/18,2
Nelson Books,2
Brava,2
Harper Trophy,2
America's Test Kitchen,2
Smithmark Publishers,2
Little  Brown & Company (Boston/Toronto),2
Penguin (Non-Classics),2
Norton,2
Christian Classics,2
Yellow Jersey,2
Summit University Press,2
Viking Juvenile,2
Penguin Group(CA),2
Steerforth,2
Rick Steves,2
Grand Central Publishing (Formerly Warner Books),2
Arkana/Penguin,2
Penguin Audio,2
Crossroad,2
Titan Books,2
Impact,2
Harlequin Special Releases,2
Large Print Press,2
Haynes Manuals N. America  Inc.,2
Bantam (Fanfare Imprint),2
Vanguard Press,2
Poppy,2
Walker Books Ltd,2
Farrar Straus and Giroux,2
Avenel Books,2
Subterranean Press,2
David R. Godine,2
Graywolf Press,2
Voyageur Press,2
Sleeping Bear Press,2
Booksales,2
Sceptre,2
HarperCollins Leadership,2
Small Beer Press,2
BBC Books,2
Plexus Publishing,2
University of Wisconsin Press,2
Poisoned Pen Press,2
Roaring Brook Press,2
Ten Speed Press,2
Ave Maria Press,2
Kodansha America,2
Nymphenburger,2
Folio,2
Penguin Books Ltd.,2
Thorndike Press Large Print,2
Chicken House,2
Troll Communications,2
Hodder & Stoughton Ltd,2
Bradygames,2
Main Street Books,2
Bold Strokes Books,2
Bantam Skylark,2
McClelland & Stewart,2
Planeta,2
HJ Kramer,2
Phoenix Audio,2
Penguin Books Australia Ltd.,2
Modern Library Classics,2
Overlook TP,2
The MIT Press,2
Payot,2
Bloomsbury Publishing,2
Ballantine Books (NY),2
Silhouette Romance,2
Viking Books for Young Readers,2
Hungry Minds,2
Quality Paperback Book Club,2
Wilhelm Goldmann Verlag  GmbH,2
Lucent Books,2
Drawn and Quarterly,2
Quest Books,2
Waking Lion Press,2
Shadow Mountain,2
Artisan,2
The Harvill Press,2
Disney Hyperion Books,2
Henry Holt & Company,2
Actes Sud,2
Adventures Unlimited Press,2
Ullstein Tb,2
New York University Press,2
AudioText,2
Hesperus Press,2
Emecé Editores,2
Overlook Press,2
Stone Bridge Press,2
Harpperen,2
Modern Library/Random House (NY),2
Cook's Illustrated,2
Arkham House Publishers,2
John F. Blair  Publisher,2
Arden Shakespeare,2
Charlesbridge,2
Downtown Press,2
Time Warner Paperbacks,2
One World (UK),2
Archaia,2
University of Nebraska Press,2
Storey Publishing  LLC,2
Princeton University Press (NJ),2
Belknap Press of Harvard University Press,2
Gauntlet Press,2
Star Trek,2
Booket,2
Samuel French  Inc.,2
Penguin Press,2
Macmillan,2
Sun and Moon Press,2
Collector's Library,2
Lyons Press,2
Vintage Espanol,2
The Monacelli Press,2
Clarendon Press,2
Benjamin-Cummings Publishing Company,2
Haymarket Books,2
Atheneum,2
Honor Books,2
Capstone Press,2
Psychology Press,2
Razorbill,2
Universe,2
Running Press Book Publishers,2
ReganBooks,2
Naiad Press,2
Perfection Learning,2
Little Simon,2
Avery Publishing Group,2
Thames & Hudson,2
Warner,2
B&H Publishing Group,2
Fireside,2
Crystal Clarity Publishers,2
Warner Forever,2
Health Communications Inc,2
Tommy Nelson,2
Doubleday Books for Young Readers,2
DK,2
HQN,2
Carlton Publishing Group,2
Triple Crown Publications,2
Melville House Publishing,2
Corgi Childrens,2
Soft Skull Press,2
Eminent Lives,2
Penguin Workshop,2
Profile Books,2
Harlequin Temptation,2
Virago UK,2
Cold Spring Press,2
DK Publishing,2
Albert Whitman  Company,2
Gallimard Jeunesse,2
Hachette,2
Heinemann Library,2
Black Dog & Leventhal,2
Dial Books,2
University of Arkansas Press,2
Viking Children's Books,2
Galahad Books,2
Green Integer,2
Coronet,2
Hovel Audio,2
Paulist Press,2
Chalice Press,2
Ulysses Press,2
Turtleback,2
Authorhouse,2
Laurel,2
Samuel French Ltd,2
Soho Press,2
Carole Marsh Mysteries,2
Sams,2
Random House Mondadori,2
Luna,2
HighBridge Company,2
Atlantic Monthly Press,2
Lark Books,2
Gingko Press,2
10/18,2
The Overlook Press,2
Piatkus Books,2
Wiley Publishing,2
Potomac Books,2
Hackett Publ. Co Inc,2
Harcourt Brace,2
Wayne State University Press,2
Tarcher,2
Black Sparrow Press,2
Anchor Bible,2
Earthlight,2
Granta UK,2
Two Plus Two Publishing LLC,2
Scholastic Audio Books,2
Zenith Press,2
Barricade Books,2
W.W. Norton,2
Celestial Arts,2
Starcatcher Press,2
Sudamericana,2
New Island Books,2
Frederick P. Lenz Foundation for American Buddhism,2
Grasset,2
MacMillan,2
Abrams,2
McGraw-Hill Professional Publishing,2
Del Rey Fantasy,2
Coronet Books (GB),2
Princeton Architectural Press,2
Scribner Classics,2
Minnesota Historical Society Press,2
Penguin Global,2
Pelican Publishing,2
Douglas  McIntyre,2
Ace Trade,2
Atlantic Books (UK),2
Manning Publications,2
Dutton Books for Young Readers,2
Deutscher Taschenbuch Verlag,2
聯經出版事業股份有限公司,2
St. Martin's True Crime,2
Houghton Mifflin Harcourt P,2
North Light Books,2
Chosen Books,2
Association for Supervision & Curriculum Development,2
Games Workshop,2
Kodansha International,2
Rizzoli International Publications,2
Hal Leonard Publishing Corporation,2
Cumberland House Publishing,2
Riverhead Hardcover,2
Marion Boyars Publishers Ltd,2
Harlequin Books,2
Silhouette Special Edition,2
Millenium,2
El Paso Norte Press,2
Harlequin Romance,2
Top Shelf Productions,2
Marion Boyars Publishers,2
Tuttle Publishing,2
Firebird Books,2
Henry Holt and Company,2
Healing Arts Press,2
IVP Books,2
Random House Large Print,2
Dutton Juvenile,2
TSR,2
Fontana,2
Quill,2
Taunton Press,2
Omnibus Press,2
Chatto  Windus,2
B.E.S. Publishing,2
Corgi Books,2
角川書店 (Kadokawa Shoten),2
Howard Books,2
Grove Press  Open City Books,2
Dabel Brothers Publishing,2
St. Martins Press,2
ComicsOne Corporation,2
Everyman Chess,2
Adams Media,2
Sweet Valley,2
Banner of Truth,2
Barnes  Noble,2
Holloway House,2
Tor Classics,2
Allen Lane,2
Atheneum/Richard Jackson Books,2
Alpha,2
University of Texas Press,2
Virago,2
Little  Brown,2
Alyson Books,2
Owl Books,2
Teacher Created Resources,2
International Code Council,2
Gallimard Education,2
Little Brown,2
Routledge Classics,2
Charles Scribner's Sons,2
Piper,2
Cornell University Press,2
Weidenfeld & Nicolson,2
Feral House,2
MetroBooks (NY),2
Dundurn,2
Carl Hanser,2
Gibbs Smith Publishers,2
Schocken Books Inc,2
Fawcett Crest Books,2
Roca Editorial,2
LWW,2
Hqn,2
Simon & Schuster (Trade Division),2
MacMillan Publishing Company,2
Copper Canyon Press,2
Perigee Trade,2
Games Workshop(uk),2
Canadian Broadcasting Corporation (CBC Audio),2
Harvard University Press (Cambridge),2
HarperCollins Publishers  Inc.,1
Howard Publishing Co,1
Firebrand Books,1
High Roads Media,1
FonoLibro,1
Folio histoire,1
DEBOLS!LLO,1
O'Brien Press,1
Twenty-First Century Books (CT),1
Inter-Varsity Press,1
Other Press (NY),1
Bulfinch,1
Tinder Press,1
Middlesex University Press,1
Harper Element,1
Andrews and McMeel,1
Random House UK Ltd (A Division of Random House Group),1
Timber Press (OR),1
Timeless Texts,1
Teacher's Pet Publications  Inc.,1
Penguin Essential Editions,1
Panamericana Editorial,1
Suma,1
Alfaguara Infantil,1
Shambhala Publications,1
Blood Moon Productions,1
St. Martin's,1
Larousse,1
Mark Cahill Ministries,1
Delmar Thomson Learning,1
Hartley & Marks Publishers,1
AMR/Advanced Management Reports,1
George Braziller,1
Sutton,1
Plaza & Janes Editores Sa,1
Columbia Pictures Pubns,1
NAL Books,1
New English Library (Hodder & Stoughton),1
Book of the Month Club,1
Penguin Signet,1
Blanvalet Taschenbuch,1
Éditions du Rocher,1
Association for Scottish Literary Studies,1
Pocket Books/Simon & Schuster (NY),1
Bantam Spectra (NY),1
Night Shade Books,1
Hamish Hamilton,1
Lodestar Books,1
Booklocker.com  Inc.,1
Owl Books (NY),1
Owlet Paperbacks,1
Grove/Atlantic  Inc.,1
Marsilio Publishers,1
Yesterday's Classics,1
Oberon Books,1
Éditions de Minuit,1
Harper & Row (NYC et al.),1
Blackwell Publishing  Inc.,1
Norma Editorial,1
William Morrow / Harper,1
Diogenes Verlag,1
Amistad Press,1
Grove Press  Granta,1
Holt  Rinehart and Winston  Inc.,1
Nelson Reference & Electronic Publishing,1
Bookspan,1
Phébus,1
Western Publishing Company  Golden Books,1
Black Lizard Books,1
Harpercollins Children's Books,1
Dell Publishing,1
Dafina Books,1
Random House Vintage Books,1
Bloomsbury (NYC),1
Métailié,1
Stanford University Press (Stanford  CA),1
International Polygonics,1
Transaction Publishers,1
Aris and Phillips,1
Penguin-HighBridge,1
Millipede Press,1
IndyPublish.com,1
Barnes & Noble Books,1
William Morrow; 1ST edition,1
Routledge Falmer,1
MIT Press (Cambridge  MA),1
Metropolitan Books/Henry Holt & Co. (NY),1
AK Press,1
Siete Cuentos,1
Noonday Press,1
Houghton Mifflin/Seymour Lawrence,1
Thomas Nelson Publishers,1
Nation Books,1
Viking Press,1
Th1nk Books,1
Here's Life Publishers,1
Gürze Books,1
Hill & Wang,1
Living Books,1
Fleming H Revell Co,1
Century,1
Rowohlt Taschenbuch Verlag GmbH,1
Hodder Wayland,1
Swallow Press,1
Random House Value Publishing/TheViking Press,1
W. W. Norton & Co.,1
Octopus Books,1
Virago Press (UK),1
Element,1
Fourth Estate (GB),1
Walker,1
Arrow (A Division of Random House Group),1
Fulcrum Publishing,1
Grove Press (NYC),1
Little Bookroom,1
TSR Inc.,1
Archie Comics,1
Thames & Hudson Ltd,1
Moody Publishers (Chicago),1
Laurel-Leaf Books,1
Jimmy Patterson,1
TIme Warner Books,1
Cooper Square Publishers,1
Siloam,1
BBC Audiobooks America,1
Signet Classic,1
Bantam Classic,1
Gurze Books,1
Kids Can Press,1
Russell Enterprises,1
Gallery / Saga Press,1
Hakusen Sha,1
Daimon Verlag,1
Poseidon Press,1
Fortress Press,1
Fireside Books,1
Viking; G. P. Putnam & Sons,1
Prentice Hall/Library of Liberal Arts,1
Indigo,1
Penguin Books Canada,1
Bookclub-In-A-Box,1
Lasser Press,1
Seal,1
Allen & Ulwin,1
Secker,1
Suma de Letras Brasileiras,1
Inter Varsity Press,1
LGF,1
Simon & Schuster Libros en Español,1
Renaissance Books,1
Countryman Press,1
Baronet Books,1
Michael O'Mara,1
University of Toronto Press,1
AvonEos,1
BantamSpectra,1
Random House Vintage,1
Dabel Brothers Productions,1
Your Coach Digital,1
EOS,1
Wenner Books,1
Amereon Ltd,1
Orion Paperbacks,1
Library of American Comics,1
University of Minnesota Press,1
Sounds True,1
VeloPress,1
Companhia das Letras,1
Imprint Academic,1
MacAdam/Cage,1
Roc Hardcover,1
Schirmer/Mosel,1
Orion Publishing Co.,1
One Hour Entertainment,1
Sovereign World,1
ASCD,1
Free Spirit Publishing,1
Arbordale Publishing,1
Julie Andrews Collection,1
Stewart  Tabori and Chang,1
Crown Forum,1
Eerdmans,1
Trine Day,1
"Izdavačka agencija ""Draganić""",1
Highbridge Audio,1
Napoleon and Co,1
Rowohlt Tb,1
Tauris Parke Paperbacks,1
Turtleback Books Distributed by Demco Media,1
York Press,1
Kent State University Press (OH),1
Scholastic Reference,1
Cistercian Publications,1
Windsor Golden Series,1
Lumen,1
Tyndale Momentum,1
Houghton Mifflin Co. (Boston/NY),1
時報出版,1
Inkling Books,1
AVA Publishing,1
Acropolis Books (NY),1
Klett,1
Cherry Red Books,1
Joanna Cotler Books,1
Kindle,1
Dedalus Limited,1
J'AI LU,1
Monkfish Book Publishing,1
Joshua Odell Editions,1
Collins Design,1
Brill/Rodopi,1
Bloomsbury Children's Books,1
Revive Publishing,1
Charnwood,1
Pavilion Press (Wi),1
Kabel  Verlag GmbH Ernst,1
Warners Visions Books,1
Bear  Company,1
Luath Press Ltd,1
Piper Verlag,1
Insel,1
C. Bange,1
Henry Holt,1
btb,1
Mayfield Publishing Company (NY),1
Archipelago Books,1
ACE,1
Severn House,1
London : Faber  2002,1
Roc Trade,1
Collins Modern Classics,1
BBC Audiobooks Ltd,1
University of Utah Press,1
SaltRiver,1
Salem Press Inc,1
McClelland and Stewart,1
Nostalgia Ventures,1
Harcourt  Inc.(Harvest Book),1
Everyman's Library Classics,1
Dragonfly Books,1
Regan Books,1
Pi Press,1
Bloomsbury Childrens Books,1
Topaz,1
Bright Sky Press,1
Westholme Publishing,1
University of Calgary Press,1
Marlowe & Company,1
University Press of America,1
Abstract Studio,1
Jones & Bartlett Publishers,1
Pinter & Martin Ltd,1
Tom Doherty Tor Fantasy,1
Phoenix Press,1
Destiny Image Incorporated,1
Abingdon Press,1
Dodd Mead; 1st edition (September 1976),1
Inner Traditions,1
A & C Black (Childrens books),1
Tropismos,1
Harper Perennial (HarperCollins),1
Diana TB,1
Watkins Publishing,1
Random House UK Distribution,1
Piatkus,1
PerfectBound,1
Destino Ediciones,1
Bloomsbury USA Children's Books,1
Arthur A. Levine Books / Scholastic Inc.,1
Wizarding World Press,1
Emece Editores,1
Plaza & Janés Mexico,1
Barefoot Books,1
Express Publishing,1
Amherst Media,1
Amherst Media  Inc.,1
East Bay Municipal Utility District,1
Lawbook Exchange  Ltd.,1
Roberts Rinehart Publishers,1
Back Bay,1
Dr. Master Productions Inc.,1
Deadite Press (Eraserhead Press),1
Watson-Guptill Publications,1
Thunder's Mouth Press Books,1
BCP/Duckworth Publishing,1
Baker Books,1
Tom Doherty Associates,1
Deodand,1
Saunders,1
Robert Rose,1
Michael Joseph,1
Kent State University Press,1
Skinner House Books,1
Hachette Littérature,1
Pocket Books: Gallery Books,1
Crescent,1
Quarry Press,1
Oregon State University Press,1
Cardoza,1
Albury Publishing,1
Award Books,1
Titan Books Ltd,1
W.W. Norton  Company,1
Methuen Drama,1
