authors,count
Brian James Freeman/Bev Vincent/Glenn Chadbourne,1
Stanley Wiater/Christopher Golden/Hank Wagner,1
Rebecca  Wood/Paul Pitchford,1
Eugene Linden,1
Margaret  Rose/Heather Rose Jones,1
Umberto Eco/Geoffrey Brock,1
Umberto Eco/Girolamo De Michele/Alastair McEwen/Agnolo di Cosimo Bronzino,1
Umberto Eco/William Weaver/R.C.S. Libri,1
Umberto Eco/John Radziewicz/William Weaver,1
Umberto Eco/Hugh Bredin,1
Wilfred Owen/Cecil Day-Lewis,1
Friedrich A. Hayek,1
Jamie Jensen,1
Allen Ginsberg/William Carlos Williams,1
Truddi Chase/Robert A. Phillips,1
George Gladir/John L. Goldwater/Steve Geppi/Michael I. Silberkleit,1
Walker Percy,1
Alexandre Dumas/Barbara T. Cooper,1
Alexandre Dumas/Michael Page,1
Malvina G. Vogel/Alexandre Dumas,1
Alexandre Dumas/Keith Wren,1
King Arthur Flour,1
Frank Portman,1
Stephen King/ZBS Foundation,1
Ian Thomson,1
J.M. Coetzee/Amy Gutmann/Peter Singer/Wendy Doniger/Barbara Smuts/Marjorie Garber,1
Sigrid Undset/Tiina Nunnally/Brad Leithauser,1
Sigrid Undset/Tim Page/Tiina Nunnally/Naomi Walford,1
Sigrid Undset/Sherrill Harbison/Arthur G. Chater,1
Sébastien Japrisot,1
Hermann Hesse/Susan Bernofsky/Tom Robbins,1
Leonardo Padura/John King,1
Ernest Hemingway/William M. White,1
Bernice Kert,1
Jeffrey Meyers,1
Amanda Hemingway,1
Ernest Hemingway/John Slattery,1
Stephen King/María Mir,1
Stephen King/Marie Milpois,1
Sam Walton/John Huey,1
Roger Penrose,1
Barry Schwartz,1
Andreas J. Köstenberger/Peter T. O'Brien,1
Francine Pascal/Molly Mia Stewart/Ying-Hwa Hu,1
Kate McMullan/Janet Allison Brown/R.W. Alley,1
Elizabeth Kostova,1
Rudyard Kipling/Jeffrey Meyers,1
E.B. White/Dorothy Lobrano Guth/Martha White/John Updike,1
E.B. White/Roger Angell/Barbara Cohen/Judith Stonehill,1
Jon Lee Anderson/José Hernández/Leena Nivala,1
Caroline Preston,1
Allan C. Weisbecker,1
Solomon Jones,1
Anita Thompson,1
Hunter S. Thompson/Douglas Brinkley,1
Walter Isaacson/Evan Thomas,1
Gregory Maguire/Claudia Conde,1
Christopher M. Andrew/Vasili Mitrokhin,1
John Terra,1
Stephen Clarke,1
Fannie Flagg/Cassandra Campbell,1
Ernest Hemingway/Edward Shenton,1
Michael S. Reynolds,1
Charles Dickens/John Bowen/Hablot Knight Browne,1
Cecelia Ahern/Patricia Scanlan/Gemma O'Connor/Sarah Webb/Maeve Binchy/Marian Keyes/Morag Prunty/Cathy Kelly/Colette Caddle/Marita Conlon-McKenna/Martina Devlin/Clare Dowling/Catherine Foley/Aine Greaney/Suzanne Higgins/Rosaleen Linehan/Joan O'Neill/Julie Parsons/Deirdre Purcell/Martina Reilly/Mary Ryan/Annie Sparrow/Una Brankin,1
Jerry Ahern,1
Chris Gardner,1
Hanshan/Red Pine/John Blofeld,1
Susan    Lewis,1
Billy Crystal/Elizabeth Sayles,1
Billy Crystal/Dick Schaap,1
Phillip Margolin,1
Timothy Truman/Rick Leonardi/Tom Raney/Al Rio,1
Diana Gabaldon/Janos Farkas,1
Matt Keefe,1
Wallace Stegner/Bernard DeVoto,1
Wallace Stegner/Lynn Stegner,1
Wallace Stegner/T.H. Watkins,1
Jackson J. Benson,1
Frances J. Roberts,1
Kay Arthur,1
Bill Potter/Stephen Lang,1
Jean Houston,1
Sherman Alexie,1
Rose Tremain,1
Primo Levi/Stuart J. Woolf/Philip Roth,1
Ben Mikaelsen,1
Fran Leeper Buss/Daisy Cubias,1
James Joyce/Harry Levin,1
James Joyce/Jeri Johnson/Thiên Lương,1
James Joyce,1
Charlotte Brontë/Stevie Davies,1
Charlotte Brontë/Richard J. Dunn,1
Jane E. Gerver/Bill Dodge/Charlotte Brontë,1
Arturo Pérez-Reverte/Margaret Sayers Peden,1
J. Maarten Troost,1
Jim Trelease,1
David K. Shipler,1
Christie Ridgway,1
Peter J. D'Adamo/Catherine Whitney,1
Jonathan Swift/Isaac Asimov,1
William Faulkner/E.L. Doctorow,1
Katherine Neville,1
Louise Bates Ames/Frances L. Ilg/Carol C. Haber/Betty David,1
Henepola Gunaratana,1
Eliot Asinof/Stephen Jay Gould,1
Jean M. Auel/Leonor Tejada Conde-Pelayo,1
Hermann Hesse/Joachim Neugroschel/Ralph Freedman,1
Wilkie Collins/Carolyn G. Heilbrun,1
Wilkie Collins/P.D. James,1
Robert L. O'Connell,1
Edward J. Larson/Brian Troxell,1
Elie Wiesel/Frances Frenaye,1
Elie Wiesel/Stephen Becker,1
Elie Wiesel/Anne Borchardt,1
Elie Wiesel,1
Margo Maine/Craig  Johnson,1
Margo Maine/Craig L. Johnson,1
Connie Mason,1
Arturo Pérez-Reverte,1
Arturo Pérez-Reverte/Margaret Jull Costa,1
Arturo Pérez-Reverte/Sonia Soto,1
Anaïs Nin/Val Telberg,1
Bart King/Chris Sabatino,1
Clint Willis,1
Jason Hook,1
Roald Dahl/Carmelina Payá/Antonio Samons,1
Jonathan Shay,1
Jacques Derrida/Pascale-Anne Brault/Michael Naas,1
Diana Cooper,1
Wilkie Collins/Matthew Sweet,1
Wilkie Collins/Maria K. Bachman/Don Richard Cox,1
Iris Murdoch/George Steiner/Peter J. Conradi,1
Iris Murdoch/Peter Reed,1
Mary McCarthy,1
Susan Cooper/Omar Rayyan,1
Pablo Neruda/Donald Devenish Walsh,1
Jonathan Swift/Robert A. Greenberg,1
C.S. Lewis/Kenneth Branagh,1
C.S. Lewis/Kathleen Norris,1
Shifra Horn/Dalya Bilu,1
Pansy/Isabella MacDonald Alden,1
Elie Wiesel/Robert McAfee Brown/Matthew Fox,1
Arthur Edward Waite,1
Sinclair Lewis/E.L. Doctorow,1
Jan Frank,1
John Eldredge/Stasi Eldredge,1
Raymond Carver/Robert Altman,1
Dan B. Allender,1
Bruce Edward Walker/Ken Kesey/CliffsNotes,1
Iris Murdoch/Mary Kinzie,1
Karen Hesse/Evon Zerbetz/Kim McGillivray,1
Li Bai/Du Fu/Arthur Cooper/Shui Chien-Tung,1
J.K. Rowling/J.K.羅琳/皇冠編譯組/張定綺/彭倩文/趙丕慧/林靜華,1
J.K. Rowling/J.K.羅琳/彭倩文,1
Wang Wei/Li Bai/Li Ho/Li Shang-yin/David        Young,1
Charles Rembar,1
Judy Tam Sargent/Sonia Nordenson,1
Daniel Defoe/L.J. Swingle,1
The Paris Review/Philip Gourevitch/Rebecca West/Elizabeth Bishop/Robert  Stone/Robert Gottlieb/Richard Price/Billy Wilder/Jack Gilbert/Joan Didion/Dorothy Parker/Truman Capote/Ernest Hemingway/T.S. Eliot/Saul Bellow/Jorge Luis Borges/Kurt Vonnegut Jr./James M. Cain,1
Paul Hendrickson/Marion Post Wolcott,1
Melody Carlson,1
Dan Simmons/Jean-Daniel Brèque,1
Patricia Schultz,1
Stephen King/Glenn Chadbourne,1
Stephen King/William Olivier Desmond/Maria Teresa Marenco,1
Stephen King/Robin Waterfield,1
Mercer Mayer,1
Toni Morrison/A.S. Byatt,1
Pablo Neruda/Stephen Tapscott,1
Scott Leonard/Megan McMorris,1
Barbara W. Tuchman/Robert K. Massie,1
Sinclair Lewis/Michael R.  Meyer,1
Sinclair Lewis/Brooke Allen,1
Sinclair Lewis/Richard R. Lingeman,1
Michael Ondaatje,1
Hermann Hesse/Leila Vennewitz,1
Edward Lear/Simcha Shtull,1
Chris Chester,1
Steve Moore/Lilly Wachowski/Lana Wachowski/Alan Moore,1
Steven Weisenburger,1
Anthony Hern/Ian Fleming/Henry Gammidge/John McLusky,1
Raynold Gideon,1
Judith Farr/Louise Carter,1
Richard B. Sewall,1
Emily Dickinson/R.W. Franklin,1
Emily Dickinson,1
Sylvia Plath/Frieda Hughes,1
Paul Alexander,1
Tobias Wolff/Luann Walther,1
Philip Gourevitch,1
Orhan Pamuk/Maureen Freely/عین له غریب,1
Orhan Pamuk/Victoria Rowe Holbrook,1
Ian Jack,1
Octavio Paz/Eliot Weinberger/Elizabeth Bishop,1
Octavio Paz/Lysander Kemp/Yara Milos,1
Octavio Paz/Margaret Sayers Peden,1
Octavio Paz/Eliot Weinberger/Charles Tomlinson/William Carlos Williams/Monique Fong Wust/G. Aroul/Elizabeth Bishop/Paul Blackburn/Lysander Kemp/Denise Levertov/Muriel Rukeyser/Mark Strand,1
Stephen King/Bernie Wrightson/Michele Wrightson,1
Stephen King/Verónica Canales,1
Lois H. Gresh/Robert E. Weinberg,1
Stephen King/Josh Hamilton,1
Wilkie Collins/Camille Cauti,1
J.R.R. Tolkien/Douglas A. Anderson,1
Harry Graham/Frank J. Moore/D. Streamer,1
Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,1
Pablo Neruda/W.S. Merwin/Cristina García,1
Penelope Fitzgerald,1
Penelope Fitzgerald/Frank Kermode,1
Marilynne Robinson,1
John Irving/Hans Hermann,1
John Irving/Iris Menéndez,1
Elisabeth Jean Wood,1
Sid Fleischman/Peter Sís,1
Andrew P. Trout,1
Lou Priolo,1
Sylvia Plath/Ted Hughes/Frances McCullough,1
Ronald Hayman,1
Keri Hulme,1
James Plath,1
Jacquelyn Reinach/Richard Hefter,1
John Cheever/Pelle Fritz-Crone,1
Orhan Pamuk,1
Julie E. Czerneda,1
Pat Barker,1
Rob Kidd/Jean-Paul Orpinas/Walt Disney Company,1
Judith Viorst/Laura Gibson,1
Christopher Fowler,1
John Cheever,1
John Cheever/Rick Moody,1
Bebe Moore Campbell,1
Saul Bellow/Christopher Hitchens,1
Saul Bellow/Stanley Crouch,1
Saul Bellow/James  Wood,1
Don Webb,1
Albert Camus/Stuart Gilbert/Justin O'Brien/David Bellos,1
Albert Camus/Anthony Bower/Herbert Read,1
Octavio Paz/Helen Lane,1
Anthony Minghella/Michael Ondaatje,1
Alan MacGillivray,1
Iain Banks,1
Herman Melville/Robert Faggen,1
Hershel Parker,1
Herman Melville/Tony Tanner/John Dugdale,1
Patricia Hall,1
Paul Bowles/Francine Prose,1
Ann Major,1
Paul Coughlin/Laura Schlessinger,1
Robert L. Geneve,1
Chris          Jones/Jonathan Newman/Cara Williams,1
Carlos Marighella,1
Christopher   Duncan,1
Shiva Naipaul,1
Bruce Alvin King,1
Richard Slotkin,1
Ludwig Wittgenstein/David Pears/Brian McGuinness/Bertrand Russell,1
Ludwig Wittgenstein/G.E.M. Anscombe/George Henrik von Wright,1
Saul A. Kripke,1
Ray Monk,1
Allan Janik/Stephen Toulmin,1
Ludwig Wittgenstein/Rush Rhees,1
Eugene O'Neill/Harold Bloom,1
Carlos A. Schwantes,1
Jonathan Croall/Peter Hall,1
Eugène Ionesco/Donald M. Allen,1
Eugène Ionesco/Charles Marowitz/Donald   Watson,1
Margaret Bertha Synge,1
Albert Camus/Jacqueline Levi-Valensi/Arthur Goldhammer/David Carroll,1
Jacqueline Harpman/Ros Schwartz,1
Robert Polito/Jim Thompson/Patricia Highsmith/Charles Willeford/David Goodis/Chester Himes,1
Iain M. Banks/Irene Bonhorst,1
Luigi Pirandello/Mark Musa,1
Luigi Pirandello/Stanley Appelbaum,1
Luigi Pirandello/William Weaver/Charles Simic,1
Luigi Pirandello/William Weaver/Samuel Putnam,1
Luigi Pirandello/Tom Stoppard,1
Luigi Pirandello/Robert Rietty/Julian Mitchell/John Linstrum,1
Sam Shepard,1
Sam Shepard/Richard Gilman,1
Robert Frost/Noel Perrin,1
Jacqueline K. Ogburn/Marjorie A. Priceman,1
Louise Borden/Allan Drummond,1
Marguerite Yourcenar/Grace Frick,1
Nicholas A. Basbanes,1
Vladimir Nabokov/Fatih Özgüven,1
Joseph Conrad/Morton Dauwen Zabel/Frederick R. Karl,1
David Edmonds/John Eidinow,1
Friedrich Nietzsche/Gary Handwerk,1
Friedrich Nietzsche/Walter Kaufmann/Peter Gay,1
Friedrich Nietzsche/R.J. Hollingdale/Michael Tanner,1
Robert Frost/Susan Jeffers,1
Robert Frost/Edward Connery Lathem,1
Thomas Bernhard/Michael Hofmann,1
Robert Frost,1
Robert Frost/Richard Poirier/Mark   Richardson,1
Eugene O'Neill/Luann Walther,1
Tennessee Williams,1
Tennessee Williams/Arthur  Miller,1
"Sam Bass Warner, Jr./Sam B. Warner",1
James Lamar Roberts/Tennessee Williams/CliffsNotes,1
George Bernard Shaw/Dan H. Laurence/Nicholas Grene,1
Chet Green,1
Homer/Robert Fagles/Derek Jacobi,1
Alan Moore/David   Lloyd,1
Thomas Pynchon/Carlos Martín Ramírez,1
Michael B. Oren,1
Jean Nienkamp,1
Jahan Ramazani/Richard Ellmann/Robert O'Clair,1
Homer/Charles H. Wilson,1
Mary Pope Osborne/Troy Howell/Homer,1
Tennessee Williams/Gore Vidal,1
George Bernard Shaw/Dan H. Laurence/Imogen Stubbs,1
George Bernard Shaw/Susan Moller Okin,1
Carroll John Daly/Drew Bishop,1
Jo Ann Ooiman Robinson,1
Nathaniel Hawthorne/Thomas E. Connolly/Nina Baym,1
Nathaniel Hawthorne/Kathryn Harrison,1
Nathaniel Hawthorne/Karin Jacobson,1
Friedrich Nietzsche/Clifton Fadiman,1
João Guimarães Rosa,1
Ruth Ozeki/Florence Mortimer,1
Sarah Vowell/Katherine Streeter,1
Gus Russo,1
Graydon Carter/Tom Ford/Anna Wintour/Bridget Foley,1
Steven Watts,1
Jim Morrison,1
Mary B. Morrison,1
Louis-Ferdinand Céline/Ralph Manheim/William T. Vollmann,1
Steven Pinker/Jacques A. Mehler,1
Lavigne,1
Samuel J. Leffler/Marshall Kirk McKusick/Michael J. Karels,1
James C. Mitchell,1
William Makepeace Thackeray/John Carey,1
William Makepeace Thackeray/Nicholas Dames,1
William Makepeace Thackeray,1
Eudora Welty/Richard Bausch,1
Paul Robert Magocsi,1
Nella Larsen/Carla Kaplan,1
Nella Larsen/Charles Larson/Marita Golden,1
Sonny Brewer,1
Leo Tolstoy/Peter Sekirin,1
Boris Pasternak/B. Deutsch,1
Boris Pasternak/Marina Tsvetaeva/Rainer Maria Rilke,1
Thomas Wolfe/Pat Conroy,1
Howard Korder,1
Norman Mailer/John Buffalo Mailer,1
Lynda La Plante,1
Erin McCarthy,1
Friedrich Nietzsche/R.J. Hollingdale,1
Michael Teitelbaum/Ron Zalme,1
Nancy Milford,1
Le Ly Hayslip/James Hayslip/Jenny Wurts,1
Le Ly Hayslip/Jay Wurts,1
Craig Scharlin/Lilia V. Villanueva,1
Anne Moody,1
Ruud van der Rol/Rian Verhoeven/Anna Quindlen/Anne Frank/Tony   Langham/Plym Peters,1
Miep Gies/Alison Leslie Gold,1
Frances Goodrich/Albert Hackett/Wendy Kesselman,1
Johanna Hurwitz/Vera Rosenberry,1
Thomas Pynchon/Christophe Claro/Brice Matthieussent,1
W. Michael Kelley,1
Jack Kerouac/Robert Creeley,1
Iain Levison,1
Ken Kesey/Charles Bowden,1
Richard Brautigan/Taylan Taftaf,1
Eudora Welty/Richard Ford/Michael Kreyling,1
Eudora Welty/Reynolds Price,1
Nikola Tesla/David Hatcher Childress,1
Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,1
Dave Thomas/Chad Fowler/Andy Hunt,1
Maureen Kelly/CliffsNotes/William Golding,1
Victor Davis Hanson,1
Ephraim Sevela/Antonina W. Bouis,1
Sharyn McCrumb,1
Dave Shea/Molly E. Holzschlag,1
Elizabeth Castro,1
Michael Ochs/Patrick Javault/Ulrike Wasel,1
Gillian Avery,1
Kenneth Grahame/Gillian Avery,1
Gillian Avery/Everyman's Library/Thomas Benwick,1
Harvey Mansfield,1
Maria Skobtsova/Richard Pevear,1
Tom Clancy/David Dukes,1
Ira Levin/Otto Penzler,1
William Hjortsberg/Ridley Scott/James Crumley,1
Melissa M. Garcia,1
Alice Kaplan,1
Anne Fadiman,1
Noam Chomsky/Michel Foucault/John Rajchman,1
Noam Chomsky/Barry Pateman,1
Noam Chomsky/Gilbert Achcar/Stephan R. Shalom,1
Noam Chomsky/Arthur Naiman/David Barsamian/Sandy Niemann,1
Noam Chomsky/Donaldo Macedo,1
Noam Chomsky/C.P. Otero,1
Jean-Jacques Rousseau/Patrick Coleman/Angela Scholar,1
Jean-Jacques Rousseau/Maurice Cranston,1
Stephen King/Gregorio Vlastelica,1
Pete McCarthy,1
Fyodor Dostoyevsky/Anna Brailovsky/Joseph Frank/Constance Garnett/Alan Myers,1
Elie Wiesel/Marion Wiesel,1
Fyodor Dostoyevsky/Ronald Hingley,1
Steve Blamires/Sandy Leuthner,1
Daphne du Maurier/Sally Beauman,1
Rebecca Goldstein,1
Rebecca West/Christopher Hitchens,1
Emily Brontë/Alice Hoffman,1
Graham Handley,1
Margot Adler,1
Scott O'Dell,1
Shirley Hazzard,1
Sinclair Lewis/Charles R. Johnson,1
Marcel Proust/Lydia Davis,1
Marcel Proust/C.K. Scott Moncrieff/Elizabeth Dalton,1
Marcel Proust/C.K. Scott Moncrieff,1
Elizabeth Mayne,1
Richard P. Feynman/Michelle Feynman,1
Faïza Guène,1
Steve Wozniak/Gina Smith,1
William McDonough/Michael Braungart,1
David L. Holmes,1
George Orwell/Thomas Pynchon,1
George Orwell/Erich Fromm,1
Horace Walpole,1
Lois Lowry/True Kelley,1
Lois Lowry/Diane deGroat,1
Henry James/Deborah Esch/Jonathan Warren,1
Henry James/Anthony Curtis,1
James Joyce/Craig Raine,1
Robert Mason,1
Iris Murdoch/Karen Armstrong,1
Maryam Riess,1
William Shakespeare/Neil Taylor,1
Bob      Smith,1
William Shakespeare/David Threlfall/Don Warrington/Anne-Marie Duff/Arkangel Cast,1
William Shakespeare/John   Bowe/Michael Feast/Adrian Lester,1
William Shakespeare/Marvin Spevack/Marga Munkelt,1
William Shakespeare/SparkNotes,1
James Lamar Roberts/CliffsNotes,1
Virgil/Robert Fagles/Bernard Knox,1
Virgil/Stanley Lombardo/W. R. Johnson,1
Virgil/G.P. Goold,1
Horace Walpole/E.F. Bleiler/Walter Scott,1
Rosetta James,1
Robert Penn Warren,1
L. David Allen,1
Robert Penn Warren/James A. Perkins/James A. Grimshaw,1
Ian King/Lou Schuler/Frederick Deluvier,1
Naguib Mahfouz/Catherine Cobham/Naguib Mahfouz,1
Naguib Mahfouz/Surgana/Naguib Mahfouz,1
John Grisham/Michael Beck/Frank  Muller,1
Kathleen Winsor,1
Dugald A. Steer/Douglas Carrel,1
Andrés Duany/Elizabeth Plater-Zyberk/Jeff Speck,1
Don Colbert,1
James Redfield/Lou Diamond Phillips,1
Henry James/R.W.B. Lewis,1
Henry James/Peter G. Beidler,1
William Shakespeare/Mary Berry/Michael Clamp,1
William Shakespeare/David L. Stevenson,1
William Shakespeare/Samuel West/Amanda Root/Arkangel Cast,1
William Shakespeare/F.H. Mares,1
Mark Helprin,1
Terry Tempest Williams,1
Maya Angelou/Linda Sunshine/Diego Rivera,1
Maya Angelou/Jean-Michel Basquiat/Sara Jane Boyers,1
Lewis Carroll/Douglas R. Nickel,1
Lewis Carroll/Graeme Base,1
Maxim Gorky/Avrahm Yarmolinsky/Moura Budberg,1
Jane Heller,1
James K. Lowers/William Shakespeare/CliffsNotes,1
William Shakespeare/David Scott Kastan,1
Lewis Carroll/Jane Carruth/Rene Cloke,1
Jean-Jacques Rousseau/Susan Dunn/Gita May/Robert N. Bellah/David Bromwich/Conor           Cruise O'Brien,1
Carl Hiaasen/Elmore Leonard/Dave Barry/James W. Hall/Edna Buchanan/Les Standiford/Paul Levine/Brian Antoni/Tananarive Due/John Dufresne/Vicki Hendricks/Carolina Hospital/Evelyn Mayerson,1
David Nasaw,1
Naguib Mahfouz/Peter Theroux,1
Naguib Mahfouz/Tagreid Abu-Hassabo,1
Naguib Mahfouz/Frances Liardet,1
Naguib Mahfouz/Trevor Le Gassick,1
C. Hassell Bullock,1
John Milner/Piet Mondrian,1
Mark Rothko/Miguel López-Remiro,1
Lee Seldes,1
Diane Waldman/Bernard Malamud,1
Diane Waldman,1
Henry M. Sayre,1
Pindar/Cecil Maurice Bowra/Daniel C. Snell/Dawson William Turner/Maehler/Abraham Moore,1
Pindar/G.S. Conway/Richard Stoneman,1
Euripides/David R. Slavitt/Smith Palmer Bovie/Fred Chappell/Mark Rudman/Elaine Terranova/Richard Elman/Katharine Washburn/George D. Economou,1
Prima Publishing,1
James Patterson/Michael Garland,1
Howard Stern,1
Lesley Glaister,1
Kevin Smith/Phil Hester/Ande Parks,1
Stephanie Spinner,1
Joyce Meyer,1
Stuart Gilbert,1
Miriam Toews,1
Marilyn Herbert/Miriam Toews,1
Dorothy Dunnett,1
David  Michaels/Tom Clancy,1
Douglas E. Winter/Dan Simmons/Stephen King/George R.R. Martin,1
Kathleen Banks Freeman/Hermann Alexander Diels,1
Philip Ellis Wheelwright,1
Geoffrey S. Kirk/John Earle Raven/Malcolm Schofield,1
Catherine Osborne,1
Jonathan Barnes/Ted Honderich,1
Robin Waterfield/Anaximander/Anaximenes/Empedocles/Gorgias of Leontini/Heraclitus/Parmenides/Protagoras/Pythagoras/Thales/Thrasymachus/Zeno of Elea,1
Paul Crilley,1
Aristotle/Malcolm Heath,1
Igor Stravinsky/George Seferis/Arthur Knodel/Ingolf Dahl,1
Roland H. Bainton,1
Stephen King/Joachim Körber,1
Stephen King/Jerry N. Uelsmann,1
Oscar Wilde/Jeffrey Eugenides,1
Oscar Wilde/Hesketh Pearson,1
Ravi Zacharias,1
Marvin Kaye,1
Don Rosa/Carl Barks/Lars Jensen/Pat McGreal/Carol McGreal/Frank Jonker/Romano Scarpa/Mau Heymans/José Massaroli,1
Jean Shepherd,1
Jiddu Krishnamurti/D. Rajagopal,1
Pam Johnson-Bennett,1
Giuliana DePandi,1
Howard W. Stone/James O. Duke,1
Ben Avery/Mike S. Miller/George R.R. Martin/Mike Crowell,1
George R.R. Martin/Roy Dotrice,1
Charles de Lint,1
Gregory Maguire/Douglas Smith/Jelena Bojić,1
Takehiko Inoue,1
Kyoko Hikawa,1
CLAMP/Anthony Gerard,1
Yumi Hotta/Takeshi Obata/Yukari Umezawa,1
Tsugumi Ohba/Alexis Kirsch,1
Stephen King/María Eugenia Ciocchini Suárez,1
Catherine Thimmesh/Melissa Sweet,1
Stanley Coren,1
Michael J. Gelb,1
Jane Walmsley,1
Terry Cole-Whittaker,1
Kaza Kingsley/Melvyn Grant,1
James A. Hetley,1
Christopher Stasheff/William R. Forstchen/Nick DiChario/S.N. Lewitt/Bill Fawcett/Mike Resnick/Mickey Zucker Reichert/S.M. Stirling/Diane Duane/Jody Lynn Nye/Roland J. Green/Teresa Patterson/Judith R. Conly,1
Patricia Thomas/Wallace Tripp,1
John Grisham/Jorma-Veikko Sappinen,1
Robin Waterfield/John Grisham,1
Jane Hamilton/Frank  Muller/C.J. Critt,1
Bill Cosby/Varnette P. Honeywood/Varnette Hon Eywood,1
Bill Cosby/Varnette P. Honeywood/Varnette Honeywood,1
E.R. Eddison/Gerald Ravenscourt Hayes/Keith   Henderson,1
E.R. Eddison,1
Frederick P. Brooks Jr.,1
Lao Tzu/Ursula K. Le Guin/J.P. Seaton,1
Ursula K. Le Guin/Samuel Roukin,1
Ursula K. Le Guin/Margot Paronis,1
Mikhail Tal/Iakov Damsky/Kenneth P. Neat,1
Mikhail Tal/Hanon W. Russell,1
Miguel de Cervantes Saavedra/John Rutherford,1
Miguel Serrano,1
Hermann Hesse/Hilda Rosner,1
Ralph Ginzburg,1
Yasunari Kawabata/Edward G. Seidensticker,1
Nancy Conrad/Howard A. Klausner/Buzz Aldrin,1
Yayoi Ogawa/小川 彌生,1
Chieri Uegaki/Stéphane Jorisch,1
Suki Kim,1
Roger Zelazny/Scott Zrubeck/Steven Brust,1
John Gregory Betancourt/Roger Zelazny,1
E.R. Eddison/Keith   Henderson,1
Tim Dowley/Roger Langton,1
Jane Werner Watson/Eloise Wilkin,1
Charles Dickens/P.J. Lynch,1
Charles Dickens/Michael Patrick Hearn/John Leech,1
Jane Parker Resnick/Christian Birmingham,1
Charles Dickens/Hablot Knight Browne/David Gates,1
Charles Dickens/Michael Slater,1
Barbara Park/Kenneth Lafreniere,1
Sylvia Nasar,1
Edward de Bono,1
Sayadaw U. Pandita/Kate Wheeler/Swami Vivekananda,1
Sylvia Nasar/Carlo Capararo/Sergio Mancini/Roberta Zuppet,1
Fuyumi Ono/小野 不由美/Akihiro Yamada/山田 章博/Elye J. Alexander/Alexander O. Smith,1
Suzette Haden Elgin,1
Richard Fariña/Thomas Pynchon,1
Joan Didion/John Leonard,1
Joan Didion/David Thomson,1
Paul Auster/Art Spiegelman/Luc Sante,1
Peter Moon/Preston B. Nichols/Nina Helms,1
Joseph A. Tainter,1
Philip K. Howard,1
Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,1
Nikola Tesla,1
Edith Wharton/Louis Auchincloss,1
Oscar Wilde/Merlin Holland,1
Richard Ellmann,1
Katherine E. Krohn,1
Christina Schwarz,1
Pearl Cleage,1
Melinda Haynes,1
Mercedes Lackey/Tanya Huff/Mickey Zucker Reichert/Michelle Sagara West/Gary A. Braunbeck/John Helfers/Elisabeth Waters/Lawrence Schimel/Mark Shepherd/Janni Lee Simner/Richard Lee Byers/Josepha Sherman/Larry Dixon/John Yezeguielian/Mel White/Stephanie D. Shaver/Kristin Schwengel/Ben Ohlander/Philip M. Austin,1
Mercedes Lackey/Tanith Lee/C.E. Murphy,1
Tamora Pierce/Josepha Sherman/Margaret Mahy/Lesley McBain/Mike Resnick/Bruce Rogers/Pamela F. Service/Jan Stirling/Holly Black/Doranna Durgin/India Edghill/Rosemary Edghill/Esther M. Friesner/Laura Anne Gilman/Janis Ian/Brett Hartinge,1
Michael Pollan/Scott Brick,1
Joyce Lankester Brisley,1
Mandy Aftel,1
Jackie French Koller/Rebecca Guay,1
Raymond E. Feist/Brett Booth,1
Katherine Dunn,1
Lady Sarashina/Ivan Morris,1
Maureen Child,1
John Lawrence Peterson,1
William Kalush/Larry Sloman,1
Melanie Rawn/Kate Elliott/Jennifer Roberson,1
James Preller/Jamie  Smith,1
Konrad Eisenbichler,1
Konrad Lorenz/Marjorie Kerr Wilson,1
David S. Garnett/David Ferring,1
Mercedes Lackey/Roberta Gellis,1
Mercedes Lackey/Rosemary Edghill/Sarah A. Hoyt/Tanya Huff/Fiona Patton/Janni Lee Simner/Mickey Zucker Reichert/Judith Tarr/Larry Dixon/Michael Z. Williamson/Nancy Asire/Richard Lee Byers/Brenda Cooper/Stephanie D. Shaver/Kate Paulk/Michael Longcor/Ben Ohlander,1
Mercedes Lackey/Eric Flint/Dave Freer,1
Wally Lamb/Inge de Heer,1
Paul Kengor,1
Dinesh D'Souza,1
Edith Wharton/Elizabeth Strout,1
Julie Mullaney,1
John Knowles/David Levithan,1
Anna Quindlen,1
Max Eilenberg/Angela Barrett,1
Teddy Slater/Ron Dias/Ric González,1
Don DeLillo/Marianne Véron,1
Don DeLillo/Mark Osteen,1
Erich Fromm/Peter D. Kramer/Rainer Funk,1
Bruce Patton/Douglas Stone/Sheila Heen,1
Yasunari Kawabata/Alisa Freedman,1
Yasunari Kawabata/Howard Hibbett,1
Yasunari Kawabata/J. Martin Holman,1
Yasunari Kawabata/Lane Dunlop/J. Martin Holman,1
Yasunari Kawabata/Edward G. Seidensticker/Yukio Mishima,1
Yasunari Kawabata/Michael Emmerich,1
Richard Olney,1
Lan Samantha Chang,1
Richard Flanagan,1
Mary Karr,1
Dorothy L. Sayers/Jill Paton Walsh,1
Paul Belien,1
R.K. Narayan/Jhumpa Lahiri,1
Bernard Malamud/Jhumpa Lahiri,1
