authors,count
Dale Carnegie,6
Kate Atkinson,6
James Clavell,6
Haruki Murakami/Philip Gabriel,6
Jack Du Brul,6
Tracy Chevalier,6
Ken Follett,6
William Gibson,6
Thomas Sowell,6
Kazuo Umezu,6
Jeff Shaara,6
Mark Haddon,6
Diana Wynne Jones,6
Kazuo Ishiguro,6
John Updike,6
Mark Kurlansky,6
Margaret Atwood,6
Umberto Eco,6
Anaïs Nin,6
Oscar Wilde,6
Junji Ito/伊藤潤二,6
Barbara Kingsolver,6
Catherine Coulter,6
Patricia A. McKillip,6
Mario Puzo,5
Roger Hargreaves,5
Peter F. Hamilton,5
NOT A BOOK,5
Edward P. Jones,5
Robin Hobb,5
Jonathan Carroll,5
Cecily von Ziegesar,5
Maud Hart Lovelace/Vera Neville,5
Lois Lowry,5
Harold Bloom,5
Lawrence Sanders,5
Terry Goodkind,5
Georges Simenon,5
Jacqueline Carey,5
Irvin D. Yalom,5
Charles Stross,5
Seamus Heaney,5
Craig Thompson,5
Mitch Albom,5
Simon Winchester,5
E.M. Forster,5
Jim Lehrer,5
Julian May,5
Rick Riordan,5
Elizabeth Peters,5
Tom Perrotta,5
P.J. Parrish,5
Rick Moody,5
Friedrich Nietzsche,5
Agatha Christie/Hugh Fraser,5
Patrick Süskind,5
Denis Johnson,5
David Foster Wallace,5
Richard Rhodes,5
Yuki Shimizu,5
Time-Life Books,5
Graham Masterton,5
Hideyuki Kikuchi/Yoshitaka Amano,5
Teresa Edgerton,5
bell hooks,5
Milan Kundera/Linda Asher,5
Erle Stanley Gardner,5
J.D. Salinger,5
Brian Herbert/Kevin J. Anderson,5
Thomas  Harris,5
Irvine Welsh,5
Edgar Allan Poe,5
Euripides/David Kovacs,5
Simon Goldhill,5
Aristophanes/Jeffrey Henderson,5
Maya Angelou,5
C.S. Lewis/Pauline Baynes,5
Anaïs Nin/Gunther Stuhlmann,5
Anthony Bourdain,5
Susan Conant,5
Chaim Potok,5
Stephen R. Covey,5
Arthur Koestler,5
Richard Matheson,5
Hiromu Arakawa,5
Juan Rulfo,5
Karen  O'Connor/Larry J. Sabato,5
Amelia Atwater-Rhodes,5
Charles Burns,5
J.M. Coetzee,5
Robert D. Kaplan,5
Peggy Parish/Lynn Sweat,5
Anita Shreve,5
Lawrence Durrell,5
James Redfield,5
Daisy Meadows/Georgie Ripper,5
Stephen Hawking,5
William T. Vollmann,5
Nathaniel Hawthorne,5
Anna Maxted,5
William Golding,5
John Barth,5
Chuck Klosterman,5
Carolyn Meyer,5
Yumi Hotta/Takeshi Obata,5
Karen Kingsbury/Gary Smalley,5
Todd Gitlin,5
Debra Hess,5
Bryce Courtenay,5
Louisa May Alcott,5
Chris Ware,5
C.S. Lewis/Pauline Baynes/Ana Falcão Bastos,5
Hunter S. Thompson,4
Victoria Holt,4
Emily Giffin,4
Michael Connelly/Dick Hill,4
Robert B. Parker/Joe Mantegna,4
Madeleine Brent,4
Steven Pressfield,4
Ron Rash,4
Charlie Huston,4
Oscar Hijuelos,4
Rudyard Kipling,4
Wilbur Smith,4
Paul Bowles,4
Mary Higgins Clark/Carol Higgins Clark,4
Edmund S. Morgan,4
Eric Hobsbawm,4
Jack London,4
Maud Hart Lovelace/Lois Lenski,4
Tom Wolfe,4
Elizabeth Lowell,4
Ken Kesey,4
Haruki Murakami/Jay Rubin,4
Norman Mailer,4
E.L. Doctorow,4
Michael Chabon,4
Marguerite Duras,4
James Scott Bell,4
Paulo Coelho/Alan R. Clarke,4
Jeff Rovin/Tom Clancy/Steve Pieczenik,4
Clive Cussler/Craig Dirgo,4
Tananarive Due,4
Frank E. Peretti,4
Erik Larson,4
David R. Hawkins,4
Peter Straub,4
James   McBride,4
S.E. Hinton,4
Jules Verne,4
Marsha Collier,4
James Patterson/Andrew Gross,4
Isak Dinesen/Karen Blixen,4
V.S. Naipaul,4
Simone de Beauvoir,4
Gregory Maguire/Elaine Clayton,4
Ayn Rand/Leonard Peikoff,4
Eva Brann,4
Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin/D.J. Enright,4
Linda Lael Miller,4
Jean-Paul Sartre,4
Annie Proulx,4
Michael Craft,4
Joseph J. Ellis,4
Malcolm Gladwell,4
Oh! Great/大暮 維人,4
Julian Barnes,4
George Orwell,4
Donald Spoto,4
Eiji Nonaka/Brendan Frayne,4
A.N. Roquelaure/Anne Rice,4
Augusten Burroughs,4
Lee Charles Kelley,4
Ronda Thompson,4
Gene Wolfe,4
Russell Banks,4
Chinua Achebe,4
Mark Twain,4
Daniel Goleman,4
Megan Whalen Turner,4
Elizabeth  George,4
Knut Hamsun/Sverre Lyngstad,4
Hermann Hesse,4
Cait London,4
J.R. Ward,4
Francine Prose,4
Henning Mankell/Laurie Thompson,4
Antonia Fraser,4
D.H. Lawrence,4
Sebastian Faulks,4
John Julius Norwich,4
Lorna Landvik,4
Robert McCloskey,4
Iain Pears,4
Kevin Henkes,4
Anthony Powell,4
Joseph Conrad,4
Howard Zinn,4
Jerome K. Jerome,4
Barry  Lopez,4
Ricardo Piglia,4
Anne Lamott,4
James Axler,4
Chie Shinohara,4
Yayoi Ogawa,4
Al Ries/Jack Trout,4
Haven Kimmel,4
Trudi Canavan,4
Marshall Sahlins,4
Virginia Woolf,4
Umberto Eco/William Weaver,4
Henry Chadwick,4
Wallace Stegner,4
Nicholson Baker,4
Rebecca Solnit,4
Jared Diamond,4
Michael Moorcock,4
Jayne Castle/Jayne Ann Krentz,4
Syd Hoff,4
Susan Hill,4
Joan Aiken,4
Anne McCaffrey,4
Shana Abe,4
Trevanian,4
José Saramago/Pilar del Río,4
Jack Kerouac,4
Barbara Nadel,4
Warren Ellis/Darick Robertson/Rodney Ramos,4
Stephen W. Frey,4
Arthur Conan Doyle,4
Stephen E. Ambrose,4
Colm Tóibín,4
Richard Dawkins,4
Roger Hargreaves/Gray Jolliffe,4
Emma Holly,4
Graham Greene,4
Gabriel García Márquez/Edith Grossman,4
Lee Child,3
Roger Hargreaves/Adam Hargreaves,3
Brian Jacques,3
Laura Ingalls Wilder/Stephen W. Hines,3
Eleanor Estes/Edward Ardizzone,3
Harold G. Moore/Joseph L. Galloway,3
Stephen Hunter/Beau Bridges,3
Robert M. Sapolsky,3
Fern Michaels,3
John Gray,3
Heidi Hayes Jacobs,3
Alister E. McGrath,3
Grant Morrison/Frank Quitely,3
Ann Patchett,3
Eric Schlosser,3
Steve Turner,3
Lois Lenski,3
James Patterson/Peter de Jonge,3
Sidney Sheldon,3
Melissa de la Cruz,3
Plato/Benjamin Jowett,3
Emmanuel Le Roy Ladurie/Barbara Bray,3
Mercedes Lackey/Rosemary Edghill,3
Jane Hamilton,3
Edwidge Danticat,3
Mayu Shinjō,3
Hinako Takanaga,3
Daniel Clowes,3
Rachel Ryan/Sandra Brown,3
Youka Nitta,3
Jack Kerouac/Ann Charters,3
Kahlil Gibran,3
Henri J.M. Nouwen,3
Andrea Camilleri/Stephen Sartarelli,3
Evelyn Waugh,3
Stanisław Lem/Michael Kandel,3
Junichi Satō/Kaori Naruse,3
Chiho Saito,3
Rick Bass,3
Susan Cooper,3
Mari Mancusi,3
David Lubar,3
George R.R. Martin,3
George Saunders,3
Eoin Colfer/Ana Alcaina,3
Sandra Cisneros,3
Richard Bach,3
Dashiell Hammett,3
Edith Wharton,3
Tomie dePaola,3
Donna Tartt,3
Yōko Kamio/神尾葉子,3
Alan Paton,3
Janet Fitch,3
Rohinton Mistry,3
Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,3
Steven Johnson,3
Margaret Truman,3
Joss Whedon/John Cassaday,3
Margaret George,3
Larry McMurtry,3
Huston Smith,3
Charles Taylor,3
Richard A. Posner,3
George Beahm,3
Kresley Cole,3
Colin Wilson,3
Jennifer Weiner,3
Elizabeth Berg,3
Cory Doctorow,3
Emma McLaughlin/Nicola Kraus,3
Virginia Woolf/Anne Olivier Bell/Andrew McNeillie,3
Ivan Turgenev/Richard Freeborn,3
Phillip Lopate,3
Bob Woodward,3
David Bodanis,3
Neale Donald Walsch,3
Halldór Laxness/Magnus Magnusson,3
Carrie Vaughn,3
Yukito Kishiro,3
Kyoko Hikawa/Yuko Sawada/Freeman Wong,3
David Hackett Fischer,3
Lance Armstrong/Sally Jenkins,3
Roger Zelazny,3
Tobias Wolff,3
Steve Martin,3
Charles Frazier,3
Jon Ronson,3
Kate DiCamillo/Chris Van Dusen,3
Will Ferguson,3
Zora Neale Hurston,3
P.D. Eastman,3
Sophocles/Paul Roche,3
Ron Chernow,3
Adam Hochschild,3
Mary Pope Osborne/Salvatore Murdocca,3
Mary Pope Osborne/Natalie Pope Boyce/Salvatore Murdocca,3
Anita Diamant,3
Geraldine Brooks,3
Geneen Roth,3
Gregory Maguire,3
P.G. Wodehouse/Jonathan Cecil,3
Pat Conroy,3
Stephen King/John  Glover,3
Italo Calvino,3
Franz Kafka,3
Richard Peck,3
Peter Mayle,3
Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,3
Mary Wollstonecraft Shelley,3
Robert D. Putnam,3
Stuart McLean,3
Brenda Joyce,3
Tsutomu Nihei,3
Charlaine Harris,3
Leigh Nichols/Dean Koontz,3
Stephen King/Ron McLarty,3
Tsugumi Ohba/Takeshi Obata/Pookie Rolf,3
Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,3
Enid Blyton,3
Jim Butcher,3
Christopher Isherwood,3
Carole Marsh,3
Vince Flynn,3
Mark Twain/Charles Neider,3
Mary Pope Osborne/Homer/Troy Howell,3
David R. George III,3
F. Scott Fitzgerald,3
Peter Abrahams,3
Jonathan Harr,3
Paramahansa Yogananda,3
Janet Evanovich/Charlotte Hughes,3
Nigella Lawson,3
Leo Tolstoy,3
T.A. Barron,3
Daniel Keyes,3
C.S. Lewis/Walter Hooper,3
Honoré de Balzac,3
Brady Games,3
Danielle Steel,3
F. Scott Fitzgerald/Matthew J. Bruccoli,3
George E. Stanley/Guy Francis,3
Ursula K. Le Guin/S.D. Schindler,3
Stephen King/Ned Dameron,3
Margaret Weis,3
Ruth Heller,3
Jhumpa Lahiri,3
Max Barry,3
Cook's Illustrated Magazine,3
Elisabeth Kübler-Ross,3
David Weber,3
Dale Brown/Jim DeFelice,3
Satosumi Takaguchi,3
Erich Fromm/Rainer Funk,3
Erich Fromm,3
Steven D. Levitt/Stephen J. Dubner,3
Sigrid Nunez,3
Donald A. Norman,3
Billy Collins,3
Julie Aigner-Clark/Nadeem Zaidi,3
Joseph Pearce,3
Ned Vizzini,3
Betty MacDonald/Alexandra Boiger,3
Peter Singer,3
Silas House,3
Mark Z. Danielewski,3
Jean Estoril,3
Gordon S. Wood,3
Robert Hellenga,3
Marguerite Duras/Barbara Bray,3
Joseph Frank,3
Slavoj Žižek,3
Cynthia Rylant/Preston McDaniels,3
Troy Denning,3
Richard Brautigan,3
Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,3
Carolyn Keene,3
Bill Maher,3
Stewart Brand,3
Alice Sebold,3
Bernard Williams,3
Jorge Luis Borges/Andrew Hurley,3
Hugh Honour/John Fleming,3
Chris Offutt,3
Darren Shan,3
Richard Bachman/Stephen King,3
Jahnna N. Malcolm,3
Nora Ephron,3
Candace Bushnell,3
Janet Evanovich/C.J. Critt,3
Diane Duane/Tom Clancy/Steve Pieczenik,3
Astrid Lindgren/Ilon Wikland/Florence Lamborn,3
Adrian McKinty,3
Diane Johnson,3
Avi,3
Ansel Adams/Robert Hardy Baker,3
Steve Perry/Tom Clancy/Steve Pieczenik,3
Pete Hautman,3
Russell Hoban,3
Thomas Cahill,3
J.V. Jones,3
Francine Pascal/Jamie Suzanne,3
Jean M. Auel,3
Anya Seton/Philippa Gregory,3
Albert Camus/Justin O'Brien,3
Wilkie Collins,3
Julia Alvarez,3
Anita Desai,3
Michel Foucault/Robert Hurley,3
Barbara Ehrenreich,3
Jon Krakauer,3
Raymond Carver,3
Sinclair Lewis,3
Mary Doria Russell,3
Lorrie Moore,3
Marjorie Weinman Sharmat/Mitchell Sharmat/Denise Brunkus,3
Claire Messud,3
Dan Simmons/Guy Abadia,3
Dean Koontz/Leigh Nichols,3
P.T. Deutermann,3
William Shakespeare/Alan Durband,3
Homer/Robert Fagles/Bernard Knox,3
Barbara Conklin,3
Kenneth H. Blanchard,3
Ron Roy/John Steven Gurney,3
William Styron,3
SparkNotes,3
Charles Dickens/Gillen D'Arcy Wood,3
Quentin Skinner,3
Cynthia Voigt,3
Joyce Carol Oates/Elaine Showalter,3
Masamune Shirow,3
John Berendt,3
Shelby Foote,3
Thucydides/C.F. Smith,3
Brian Greene,3
Zilpha Keatley Snyder,3
Lin Carter,3
Dale Peck,3
Alexandre Dumas/Robin Buss,3
Jude Fisher,3
Donald Miller,3
Rumer Godden,3
Al Franken,3
Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,3
Robert M. Pirsig,3
Rosa Montero,2
Louis Begley,2
Daniel Abdal-Hayy Moore,2
E. Nesbit,2
Robert Greene/Joost Elffers,2
Thomas Harlan,2
J.R.R. Tolkien/Rob Inglis,2
Bryan Sykes,2
Fyodor Dostoyevsky/Ignat Avsey,2
John Dos Passos/E.L. Doctorow,2
John Dos Passos,2
J.R.R. Tolkien/Alan  Lee,2
Jeffrey Archer,2
Randy Alcorn,2
Plato/C.D.C. Reeve,2
Herodotus/Aubrey de Sélincourt/John M. Marincola,2
Charles R. Swindoll,2
Daniel Jonah Goldhagen,2
Humphrey Carpenter,2
J.R.R. Tolkien/Peter S. Beagle,2
Tracy Kidder,2
Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,2
Homer/W.H.D. Rouse,2
Eleanor Estes/Louis Slobodkin,2
Lindsey Davis,2
Andrea Levy,2
Robin S. Sharma,2
Jack Kerley,2
Jean Sasson,2
J.M. Barrie/Peter Hollindale,2
Reinaldo Arenas,2
Morag McKendrick Pippin,2
Bernard Cornwell/Jamie Glover,2
Herman Melville/G. Thomas Tanselle,2
Arthur Conan Doyle/Leslie S. Klinger,2
Plato/G.M.A. Grube/John M. Cooper,2
Neil deGrasse Tyson,2
Hayao Miyazaki,2
William L. Shirer,2
Anton Chekhov/Laurence Senelick,2
Christina Scull/Wayne G. Hammond,2
Michael Connelly/Len Cariou,2
Noel Streatfeild/Diane Goode,2
Nelson DeMille/Otto Penzler,2
Julian Jaynes,2
Yosef A.A. Ben-Jochannan,2
Russell Roberts/Russ Roberts,2
Robert Shapard/James Thomas,2
J.A. Jance,2
Kaho Miyasaka,2
Eric Chaisson/Steve McMillan,2
Edith Hamilton,2
Walter Dean Myers,2
Tara MacCarthy,2
Charles Willeford,2
Quentin Blake,2
Marissa Moss,2
Wayne W. Dyer,2
Michael Marshall Smith,2
Richard Curtis,2
Steve Perry,2
Michael Jecks,2
E.B. White/Garth Williams/Rosemary Wells,2
Lawrence Otis Graham,2
G. Richard Shell,2
Mary S. Lovell,2
Harry Crews,2
Kevin Crossley-Holland,2
Tristan Taormino,2
Jane Leslie Conly/Leonard B. Lubin,2
Nicholas Wright/Philip Pullman,2
David Almond,2
Kate DiCamillo,2
Elaine Cunningham,2
Anne McCaffrey/Elizabeth Ann Scarborough,2
Anne McCaffrey/Todd McCaffrey,2
Jerome Preisler/Tom Clancy/Martin Greenberg,2
Brian Michael Bendis/Mark Bagley,2
Ann Beattie,2
Denise Dersin,2
Anne Mazer/Monica Gesue,2
Mark Kurlansky/S.D. Schindler,2
Anne Mazer,2
Anne Mazer/Bill Brown,2
Phyllis Reynolds Naylor,2
Lewis Carroll/Helen Oxenbury,2
John Kennedy Toole,2
Louis de Bernières,2
Erving Goffman,2
Russell Hoban/Quentin Blake,2
Stanley Bing,2
Jude Watson,2
Elizabeth Clare Prophet,2
Nicole Krauss,2
David Eddings/Leigh Eddings,2
Gary K. Carey,2
Kahlil Gibran/جبران خليل جبران,2
Robert Louis Stevenson,2
Christopher Janaway,2
David James Duncan,2
Maurice Sendak,2
Jean Estoril/Mabel Esther Allan,2
Richard Paul Russo,2
Georg Wilhelm Friedrich Hegel,2
Kenzaburō Ōe/John Nathan,2
James Preller/R.W. Alley/Jamie  Smith,2
Barbara Park/Denise Brunkus,2
Sarah Dessen,2
Edward Gibbon,2
Dyan Sheldon,2
Laurence Yep,2
M. Scott Peck,2
Helen Fielding,2
Carlos Ruiz Zafón,2
Ann Rinaldi,2
Jill Elizabeth Nelson,2
Andrew J. Offutt,2
Anonymous/N.K. Sandars,2
Robert Nye,2
Helen Vendler,2
David Gemmell,2
Nikolai Gogol,2
Patrick Lencioni,2
Markus Zusak,2
Anthony Loyd,2
George Eliot,2
Ellen Meloy,2
Virginia Woolf/Nigel Nicolson/Joanne Trautmann,2
Robert Graves,2
Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin,2
Dava Sobel,2
Bill Clinton,2
Monica Ali,2
Frank McConnell,2
Giada De Laurentiis/Victoria Pearson,2
Tyler Florence/Petrina Tinslay,2
Jay McInerney,2
Roberta Gellis,2
Dan Savage,2
Natsuo Kirino,2
Jostein Gaarder/James Anderson,2
John Perkins,2
E.L. Konigsburg,2
Sylvia Engdahl,2
Matt Ridley,2
John Lescroart,2
William Shakespeare/Paul Werstine/Barbara A. Mowat,2
William Shakespeare/SparkNotes/John Crowther,2
Matthew Pearl/Vicente Villacampa,2
H. Jay Riker,2
Fyodor Dostoyevsky/Jessie Coulson,2
Simon Singh,2
Edith Wharton/Jeffrey Meyers,2
Edward R. Tufte,2
Sandra Boynton,2
Doreen Cronin/Betsy Lewin,2
Haruki Murakami,2
Charles Stross/Shandra Marie/Jared Doreck,2
George Lucas,2
Norton Juster,2
Kurt Busiek/Alex Ross,2
Neil Gaiman/Michael Zulli,2
Vijay Prashad,2
Chris L. Demarest,2
Carlos Ruiz Zafón/Lucia Graves,2
Yann Martel,2
George S. Clason,2
Alcoholics Anonymous,2
Anthony E. Wolf,2
Shūsaku Endō/Van C. Gessel,2
Hiroki Endo,2
Miyamoto Musashi/Thomas Cleary,2
Kōji Suzuki/Glynne Walley,2
Satoru Kannagi/Hotaru Odagiri,2
Edwin A. Abbott,2
Neil Gaiman/Dave McKean,2
Maureen Johnson,2
Henry David Thoreau,2
Mark Twain/Louis J. Budd,2
Louisa May Alcott/C. Michael Dudash/Stephen W. Hines,2
Thomas Aquinas,2
Isaac Bashevis Singer/Ilan Stavans,2
Hilary H. Milton,2
Mark Bittman,2
C.E. Murphy,2
Walter J. Savitch,2
Homer/Edward McCrorie/Richard P. Martin,2
Karen Hesse,2
Martin E.P. Seligman,2
F. Scott Fitzgerald/James L.W. West III,2
Nathaniel Philbrick,2
Tsugumi Ohba/Takeshi Obata,2
Valerie Parv,2
Daniel Defoe/Virginia Woolf,2
Augustine of Hippo,2
Jen Lancaster,2
Paul Krugman,2
Rachel Caine,2
Robert Irwin,2
Nicholas P. White,2
Tim Downs,2
Lerone Bennett Jr.,2
Noah Gordon,2
Noah Gordon/Mirjana Cvekić/Ljiljana Cvekić,2
Philip José Farmer,2
Armistead Maupin,2
Joseph Conrad/Cedric Watts,2
James Tiptree Jr.,2
Katherine Paterson,2
Satosumi Takaguchi/Satosumi Takaguchi,2
E.E. Cummings/Richard S. Kennedy,2
Alexander Pushkin/Vladimir Nabokov,2
Mark Allen Weiss,2
Adam Drozdek,2
Angus Wells,2
Norman Rush,2
Cheri Huber/June Shiver,2
Frank McCourt,2
Fyodor Dostoyevsky/David McDuff,2
John Steinbeck/Elaine Steinbeck/Robert DeMott,2
Kathy Acker,2
J.K. Rowling/Peter Needham,2
Napoleon Hill,2
Stephanie Laurens,2
Johann Wolfgang von Goethe/David  Luke,2
Tim Bogenn,2
Judith McNaught,2
Alexander Payne/Jim     Taylor,2
Richard Wright,2
Ann Rule,2
Lisa McCourt/Cyd Moore,2
Stephen King/Bernie Wrightson,2
Harold Bloom/Terry Southern/David H. Goldsmith/James Lundquist/Lawrence R. Broer/Peter J. Reed/Loree Rackstraw/William S. Doxey/Jerome Klinkowitz/Richard Giannone/John L. Simons/Leonard Mustazza/Zoltan Ab di-Nagy/Peter Freese/Wendy B. Faris,2
