column,p95,p99,p99_5,max,suggested_cap
ratings_count,61095.9999999999,297449.2799999999,597243.9600000081,4597666.0,597243.9600000081
text_reviews_count,2158.699999999999,8974.359999999975,14811.520000000157,94265.0,14811.520000000157
