publication_year,average_rating,book_count,rolling_average_rating
1900.0,3.88,1,3.88
1913.0,3.96,1,3.92
1914.0,3.95,1,3.9299999999999997
1919.0,4.32,1,4.076666666666667
1921.0,4.14,2,4.136666666666667
1922.0,5.0,1,4.486666666666667
1923.0,4.29,1,4.476666666666667
1925.0,3.955,2,4.415
1928.0,4.34,1,4.195
1929.0,4.02,1,4.1049999999999995
1931.0,2.75,1,3.703333333333333
1935.0,3.63,1,3.4666666666666663
1940.0,3.97,1,3.4499999999999997
1943.0,4.21,1,3.936666666666667
1947.0,4.06,1,4.079999999999999
1948.0,3.55,1,3.94
1949.0,3.796666666666667,3,3.802222222222222
1950.0,4.045,2,3.797222222222222
1952.0,3.9050000000000002,2,3.9155555555555552
1953.0,3.9799999999999995,2,3.9766666666666666
1954.0,3.925,4,3.936666666666666
1955.0,4.140000000000001,4,4.015
1956.0,3.9233333333333333,3,3.996111111111112
1957.0,4.03,3,4.0311111111111115
1958.0,3.98,4,3.977777777777778
1959.0,3.9659999999999997,5,3.9919999999999995
1960.0,3.9899999999999998,6,3.978666666666667
1961.0,4.078,5,4.011333333333333
1962.0,4.013333333333333,3,4.027111111111111
1963.0,4.015555555555555,9,4.0356296296296295
1964.0,3.813529411764706,17,3.9474727668845317
1965.0,3.876666666666667,9,3.901917211328976
1966.0,4.065,4,3.9183986928104577
1967.0,4.023333333333333,3,3.9883333333333333
1968.0,3.9866666666666664,6,4.0249999999999995
1969.0,4.048181818181818,11,4.019393939393939
1970.0,3.983076923076923,13,4.005975135975135
1971.0,4.033636363636364,11,4.021631701631701
1972.0,3.8778571428571427,14,3.9648568098568098
1973.0,3.966875,16,3.959456168831169
1974.0,4.0275,12,3.9574107142857144
1975.0,4.0325,16,4.008958333333333
1976.0,3.86,30,3.973333333333333
1977.0,4.003235294117647,35,3.9652450980392153
1978.0,3.9379166666666667,24,3.933717320261438
1979.0,3.9575,32,3.9662173202614377
1980.0,3.9769230769230766,26,3.957446581196581
1981.0,4.0040000000000004,31,3.979474358974359
1982.0,3.9986363636363635,44,3.99318648018648
1983.0,3.9945714285714287,36,3.9990692640692633
1984.0,4.014657534246576,73,4.002621775484789
1985.0,4.031311475409836,62,4.01351347940928
1986.0,3.971805555555556,72,4.005924855070655
1987.0,3.9002298850574713,87,3.967782305340954
1988.0,3.974736842105263,77,3.948924094239429
1989.0,3.9661538461538464,118,3.947040191105526
1990.0,4.022820512820513,117,3.9879037336932064
1991.0,4.009602649006623,151,3.9995256693269936
1992.0,3.9886263736263734,183,4.007016511817835
1993.0,3.972181818181818,165,3.990136946938271
1994.0,3.936318181818182,220,3.9657087912087903
1995.0,3.955301204819277,249,3.954600401606425
1996.0,3.974556451612903,250,3.9553919460834535
1997.0,3.941805555555556,290,3.957221070662578
1998.0,3.936506329113924,396,3.950956112094127
1999.0,3.9228507795100223,451,3.9337208880598333
2000.0,3.936704331450094,533,3.932020480024679
2001.0,3.95635528330781,655,3.9386367980893078
2002.0,3.9459622641509435,797,3.9463406263029484
2003.0,3.9323010752688172,931,3.9448728742425234
2004.0,3.953449248120301,1065,3.9439041958466867
2005.0,3.928162291169451,1258,3.9379708715195227
2006.0,3.918619469026549,1697,3.933410336105433
2007.0,3.914835589941973,517,3.920539116712657
2008.0,3.976326530612245,49,3.9365938631935884
2009.0,3.9457142857142857,42,3.9456254687561674
2010.0,3.994864864864865,37,3.972301893730465
2011.0,3.9395652173913045,24,3.960048122656817
2012.0,3.9257142857142857,21,3.9533814559901512
2013.0,4.066666666666666,15,3.977315389924085
2014.0,4.015555555555555,9,4.002645502645502
2015.0,3.936,10,4.006074074074074
2016.0,3.9033333333333338,6,3.9516296296296294
2017.0,3.867142857142857,7,3.90215873015873
2018.0,4.014,5,3.92815873015873
2019.0,3.9183333333333334,6,3.93315873015873
2020.0,3.91,1,3.9474444444444443
